galaxy,n_pts,V_flat,V_max,M_b,M_gas,M_star,f_gas,g_bar_last,g_obs_last,D
UGC07866,7,30.633333333333336,33.1,182970471.1261262,110891812.32393885,72078658.80218735,0.6060639820263583,4.739561274309859e-12,1.5304329314423716e-11,4.57
UGC08286,17,83.86666666666667,84.3,1996219611.340671,1292649371.7724879,703570239.5681832,0.6475486787269553,4.3055568319726195e-12,2.8644773991145484e-11,6.5
UGC08490,30,77.26666666666667,80.1,1714605752.3750694,1194384812.0259771,520220940.34909225,0.6965944272445821,2.3204130415035444e-12,1.9226653507814764e-11,4.65
UGC08550,11,57.53333333333333,57.8,756219910.0894935,605203127.6739566,151016782.41553694,0.8003004411803109,3.669878058100463e-12,1.9990202760059766e-11,6.7
UGC08699,41,182.0,202.0,36619358803.221466,6925969098.882911,29693389704.33856,0.18913408987034536,7.729966196521698e-12,4.2229443236902144e-11,39.3
UGC08837,8,45.86666666666667,48.0,839363539.6947871,514195017.2821351,325168522.412652,0.6126010875682173,6.634139895709393e-12,1.7777860082685566e-11,7.21
UGC09037,22,147.66666666666666,160.0,63143465093.53981,28809647362.863102,34333817730.676704,0.4562569906511293,1.1261265103416967e-11,2.6779120427364346e-11,83.6
UGC09133,68,226.66666666666666,289.0,225739458368.95435,66461471012.13417,159277987356.82016,0.2944167204632335,2.682893743961153e-12,1.569093084513587e-11,57.1
UGC09992,5,33.56666666666667,34.3,498306051.4073943,278494765.4567873,219811285.950607,0.5588829689509461,4.5912407287518265e-12,9.801328343291504e-12,10.7
UGC10310,7,72.16666666666667,73.2,2848257868.347643,1717794125.6944058,1130463742.6532369,0.6031034425583622,6.628732448313923e-12,2.2435073719656543e-11,15.2
UGC11455,36,270.6666666666667,291.0,229220261503.35837,23486814641.23037,205733446862.128,0.10246395535538755,1.8177593391597424e-11,5.468707689945482e-11,78.6
UGC11557,12,81.39999999999999,85.0,10408957547.716461,2730038605.3986287,7678918942.317833,0.2622778114795511,1.3014051069891315e-11,2.191269526780918e-11,24.2
UGC11820,10,80.88333333333333,84.45,5132947891.208714,4600338538.17022,532609353.03849334,0.8962371400748677,2.8594796018188704e-12,1.4609627002943764e-11,18.1
UGC11914,65,296.6666666666667,305.0,84345886558.46292,1960222884.0034797,82385663674.45944,0.023240290238040057,1.2169983167521258e-10,3.0668494721046263e-10,16.9
UGC12506,31,227.0,255.0,158004222830.1861,79259488027.67577,78744734802.51031,0.5016289223665834,8.81526812540782e-12,3.281921575357622e-11,100.6
UGC12632,15,73.1,73.2,3329785064.8915825,2444591352.841585,885193712.0499971,0.7341589037132584,4.08540294298319e-12,1.624515459894553e-11,9.77
UGC12732,16,94.76666666666667,98.0,7670343843.0855665,6742382296.312956,927961546.7726107,0.8790195634307683,4.509272664982876e-12,2.0210531277712142e-11,13.2
UGCA281,7,28.599999999999998,29.5,59992186.36082502,25153886.918302078,34838299.442522936,0.4192860511369461,7.171009279363947e-12,2.6113589689115497e-11,5.68
UGCA442,8,56.9,57.8,495779336.8531719,412806499.49642503,82972837.35674687,0.8326415984107063,1.7250993358191415e-12,1.6343289928197037e-11,4.35
UGCA444,36,37.166666666666664,38.3,124538081.04538555,116145354.05206892,8392726.993316635,0.9326091511699296,2.5294884034132334e-12,1.8144397685754057e-11,0.98
